audio_file_name	video_file_name	video_format	language_code	language_name	split	source_path	sentence
cv15_arabic_ar.wav	cv15_arabic_ar.mp4	mp4	ar	Arabic	test	common_voice_ar_28865270.mp3	زارني في أوائل الشهر بدري
cv15_bengali_bn.wav	cv15_bengali_bn.webm	webm	bn	Bengali	test	common_voice_bn_31622386.mp3	গভীর জলের বার্থ ও বহুমুখী টার্মিনাল সহ, বন্দরটি দক্ষতার সাথে বিশ্বের বৃহত্তম বাল্ক ক্যারিয়ার পরিচালনা করতে সক্ষম।
cv15_english_en.wav	cv15_english_en.3gp	3gp	en	English	test	common_voice_en_27710027.mp3	Joe Keaton disapproved of films, and Buster also had reservations about the medium.
cv15_spanish_es.wav	cv15_spanish_es.mpg	mpeg	es	Spanish	test	common_voice_es_19698530.mp3	Habita en aguas poco profundas y rocosas.
cv15_french_fr.wav	cv15_french_fr.avi	avi	fr	French	test	common_voice_fr_19738183.mp3	Ce dernier a évolué tout au long de l'histoire romaine.
cv15_hindi_hi.wav	cv15_hindi_hi.mov	mov	hi	Hindi	test	common_voice_hi_30196032.mp3	महिलाओं को दरगाह में घुसने से नहीं रोक सकते ट्रस्टीः महाराष्ट्र सरकार
cv15_portuguese_pt.wav	cv15_portuguese_pt.mkv	mkv	pt	Portuguese	test	common_voice_pt_37406298.mp3	Cortaram a cabeça dela e o resto dos membros
cv15_russian_ru.wav	cv15_russian_ru.ogv	ogv	ru	Russian	test	common_voice_ru_26587318.mp3	К сожалению, эти предложения не нашли отражения в тексте.
cv15_ukrainian_uk.wav	cv15_ukrainian_uk.ts	mpegts	uk	Ukrainian	test	common_voice_uk_36819047.mp3	Він хотів стягти її з вагончика.
cv15_mandarin_zh_cn.wav	cv15_mandarin_zh_cn.flv	flv	zh-CN	Mandarin Chinese	test	common_voice_zh-CN_33411896.mp3	黑身准裂腹鱼为辐鳍鱼纲鲤形目鲤科的其中一种。
